Queries,Task,Category,Sub_Category,Customer
generate Top Line  Breakfast in Week Week15 to Week41?,Top Line,Breakfast,NA,NA
display Revenue  Dollar General in Month Aug?,Revenue,NA,NA,Dollar General
fetch Gross Sales  Aldi in Quarter Q1 to Q4?,Gross Sales,NA,NA,Aldi
fetch Count  Meats in Year 2019?,Count,Meats,NA,NA
fetch Net sales  Candy in Month Jan to Sep?,Net sales,Candy,NA,NA
generate Max Shipment  Ahold in Quarter Q2?,Max Shipment,NA,NA,Ahold
get Top Line  Hot Dogs in Quarter Q1 to Q4?,Top Line,NA,Hot Dogs,NA
display Count  Meats in Week Week15?,Count,Meats,NA,NA
display Net sales  Amazon in Week Week10 to Week36?,Net sales,NA,NA,Amazon
display Net sales  Meats in Month Dec?,Net sales,Meats,NA,NA
get Top Line  Specialty Meats in Month Feb to Aug?,Top Line,NA,Specialty Meats,NA
display Count  Natural Cheese in Month Apr?,Count,NA,Natural Cheese,NA
get Revenue  Walmart in Year 2019?,Revenue,NA,NA,Walmart
get Net sales  Coffee in Month Apr?,Net sales,NA,Coffee,NA
fetch Max Shipment  Ahold in Month May to Nov?,Max Shipment,NA,NA,Ahold
generate Bottom Line  Cheese in Quarter Q3?,Bottom Line,Cheese,NA,NA
generate Bottom Line  Sauces in Month Feb to Nov?,Bottom Line,Sauces,NA,NA
generate Max Shipment  Costco in Week Week41?,Max Shipment,NA,NA,Costco
generate Net sales  Cold Cuts in Quarter Q2 to Q4?,Net sales,NA,Cold Cuts,NA
display Top Line  Meats in Year 2019?,Top Line,Meats,NA,NA
fetch Max Shipment  Ahold in Quarter Q1 to Q4?,Max Shipment,NA,NA,Ahold
generate Gross Sales  Enhancers in Week Week9?,Gross Sales,NA,Enhancers,NA
fetch Revenue  Aldi in Quarter Q2 to Q4?,Revenue,NA,NA,Aldi
fetch Gross Sales  Coffee in Quarter Q2?,Gross Sales,NA,Coffee,NA
display Net sales  Creamers in Week Week21 to Week47?,Net sales,NA,Creamers,NA
fetch Max Shipment  Ketchup in Week Week27?,Max Shipment,NA,Ketchup,NA
fetch Bottom Line  Cheese in Month Apr to Dec?,Bottom Line,Cheese,NA,NA
fetch Net sales  Sauces in Year 2019?,Net sales,Sauces,NA,NA
generate Max Shipment  Candy in Year 2019?,Max Shipment,Candy,NA,NA
fetch Bottom Line  Publix in Quarter Q4?,Bottom Line,NA,NA,Publix
generate Gross Sales  Dollar General in Year 2019?,Gross Sales,NA,NA,Dollar General
fetch Gross Sales  Sauces in Week Week28?,Gross Sales,Sauces,NA,NA
generate Max Shipment  Candy in Year 2019?,Max Shipment,Candy,NA,NA
fetch Net sales  Ahold in Month Jul?,Net sales,NA,NA,Ahold
fetch Top Line  Amazon in Month May to Nov?,Top Line,NA,NA,Amazon
get Count  Candy in Week Week36?,Count,Candy,NA,NA
display Top Line  Cheese in Year 2019?,Top Line,Cheese,NA,NA
fetch Count  Dollar General in Week Week22?,Count,NA,NA,Dollar General
fetch Bottom Line  Cheese in Year 2019?,Bottom Line,Cheese,NA,NA
fetch Gross Sales  Candy in Year 2019?,Gross Sales,Candy,NA,NA
fetch Net sales  Hot Dogs in Year 2019?,Net sales,NA,Hot Dogs,NA
generate Gross Sales  Publix in Month Jun?,Gross Sales,NA,NA,Publix
get Revenue  Ahold in Year 2019?,Revenue,NA,NA,Ahold
generate Top Line  Publix in Week Week28?,Top Line,NA,NA,Publix
display Gross Sales  Amazon in Year 2019?,Gross Sales,NA,NA,Amazon
get Revenue  BBQ in Quarter Q4?,Revenue,NA,BBQ,NA
get Bottom Line  Sauces in Week Week1 to Week31?,Bottom Line,Sauces,NA,NA
fetch Max Shipment  Breakfast in Quarter Q3?,Max Shipment,Breakfast,NA,NA
generate Top Line  Breakfast in Year 2019?,Top Line,Breakfast,NA,NA
fetch Max Shipment  Cheese in Week Week29?,Max Shipment,Cheese,NA,NA
get Revenue  Target in Month Jun to Oct?,Revenue,NA,NA,Target
display Revenue  Cheese in Week Week8?,Revenue,Cheese,NA,NA
get Net sales  Kroger in Quarter Q1 to Q4?,Net sales,NA,NA,Kroger
generate Top Line  Sauces in Quarter Q2?,Top Line,Sauces,NA,NA
fetch Revenue  Meats in Quarter Q2 to Q4?,Revenue,Meats,NA,NA
display Gross Sales  UNIFI in Quarter Q3?,Gross Sales,NA,NA,UNIFI
generate Gross Sales  Sauces in Quarter Q1 to Q4?,Gross Sales,Sauces,NA,NA
fetch Revenue  Ahold in Quarter Q4?,Revenue,NA,NA,Ahold
get Count  Candy in Year 2019?,Count,Candy,NA,NA
get Count  Caramels in Year 2019?,Count,NA,Caramels,NA
fetch Net sales  Walmart in Year 2019?,Net sales,NA,NA,Walmart
get Gross Sales  Kroger in Week Week42?,Gross Sales,NA,NA,Kroger
generate Net sales  Caramels in Month Apr to Oct?,Net sales,NA,Caramels,NA
display Bottom Line  Publix in Week Week19?,Bottom Line,NA,NA,Publix
fetch Bottom Line  Amazon in Week Week1 to Week48?,Bottom Line,NA,NA,Amazon
fetch Net sales  Albertsons/Safeway in Quarter Q2?,Net sales,NA,NA,Albertsons/Safeway
display Count  Mayonaise in Quarter Q1 to Q4?,Count,NA,Mayonaise,NA
get Top Line  Bacon in Month May?,Top Line,NA,Bacon,NA
get Gross Sales  Cheese in Month Feb to Dec?,Gross Sales,Cheese,NA,NA
get Max Shipment  Juice in Month Jan?,Max Shipment,NA,Juice,NA
fetch Max Shipment  Mayonaise in Month Jun to Sep?,Max Shipment,NA,Mayonaise,NA
generate Gross Sales  Publix in Month Mar?,Gross Sales,NA,NA,Publix
get Max Shipment  Candy in Year 2019?,Max Shipment,Candy,NA,NA
generate Revenue  Specialty Meats in Week Week20?,Revenue,NA,Specialty Meats,NA
display Top Line  Mayonaise in Year 2019?,Top Line,NA,Mayonaise,NA
display Revenue  Sauces in Week Week47?,Revenue,Sauces,NA,NA
fetch Bottom Line  Publix in Year 2019?,Bottom Line,NA,NA,Publix
generate Top Line  Natural Cheese in Quarter Q1?,Top Line,NA,Natural Cheese,NA
get Gross Sales  Kroger in Week Week9 to Week43?,Gross Sales,NA,NA,Kroger
fetch Count  Target in Week Week33?,Count,NA,NA,Target
display Bottom Line  Aldi in Quarter Q2 to Q4?,Bottom Line,NA,NA,Aldi
display Revenue  Cold Cuts in Week Week28?,Revenue,NA,Cold Cuts,NA
fetch Gross Sales  Sauces in Year 2019?,Gross Sales,Sauces,NA,NA
display Top Line  Meats in Week Week48?,Top Line,Meats,NA,NA
display Top Line  Cheese in Week Week19 to Week30?,Top Line,Cheese,NA,NA
fetch Count  Cheese in Month Jan?,Count,Cheese,NA,NA
fetch Net sales  Dollar General in Quarter Q1 to Q4?,Net sales,NA,NA,Dollar General
display Max Shipment  Tea in Year 2019?,Max Shipment,NA,Tea,NA
generate Gross Sales  Breakfast in Year 2019?,Gross Sales,Breakfast,NA,NA
fetch Top Line  Juice in Week Week42?,Top Line,NA,Juice,NA
generate Gross Sales  Chocolate in Quarter Q2 to Q4?,Gross Sales,NA,Chocolate,NA
fetch Top Line  Meats in Quarter Q2?,Top Line,Meats,NA,NA
fetch Net sales  Sauces in Month Mar to Aug?,Net sales,Sauces,NA,NA
get Gross Sales  Processed Cheese in Year 2019?,Gross Sales,NA,Processed Cheese,NA
display Revenue  Cold Cuts in Week Week18 to Week41?,Revenue,NA,Cold Cuts,NA
display Max Shipment  Breakfast in Quarter Q1?,Max Shipment,Breakfast,NA,NA
get Count  Meats in Week Week24 to Week36?,Count,Meats,NA,NA
generate Max Shipment  Hot Dogs in Year 2019?,Max Shipment,NA,Hot Dogs,NA
generate Revenue  Creamers in Month Jun to Sep?,Revenue,NA,Creamers,NA
display Top Line  Enhancers in Quarter Q1?,Top Line,NA,Enhancers,NA
fetch Gross Sales  Breakfast in Month Jan to Dec?,Gross Sales,Breakfast,NA,NA
display Revenue  UNIFI in Week Week13?,Revenue,NA,NA,UNIFI
generate Revenue  Caramels in Year 2019?,Revenue,NA,Caramels,NA
generate Bottom Line  Walmart in Year 2019?,Bottom Line,NA,NA,Walmart
fetch Gross Sales  Cheese in Month Feb to Dec?,Gross Sales,Cheese,NA,NA
display Count  Specialty Meats in Quarter Q1?,Count,NA,Specialty Meats,NA
get Net sales  Walmart in Year 2019?,Net sales,NA,NA,Walmart
display Net sales  Albertsons/Safeway in Quarter Q3?,Net sales,NA,NA,Albertsons/Safeway
fetch Max Shipment  Bacon in Quarter Q1 to Q4?,Max Shipment,NA,Bacon,NA
display Count  Mayonaise in Year 2019?,Count,NA,Mayonaise,NA
generate Gross Sales  Costco in Month May to Nov?,Gross Sales,NA,NA,Costco
get Max Shipment  Gelatin in Month Jul?,Max Shipment,NA,Gelatin,NA
get Max Shipment  Cold Cuts in Month Jan to Sep?,Max Shipment,NA,Cold Cuts,NA
get Max Shipment  Breakfast in Month Jun?,Max Shipment,Breakfast,NA,NA
display Max Shipment  UNIFI in Year 2019?,Max Shipment,NA,NA,UNIFI
generate Gross Sales  All others in Quarter Q2?,Gross Sales,NA,All others,NA
get Gross Sales  Albertsons/Safeway in Month May to Sep?,Gross Sales,NA,NA,Albertsons/Safeway
fetch Bottom Line  All others in Week Week47?,Bottom Line,NA,All others,NA
generate Count  Hot Dogs in Year 2019?,Count,NA,Hot Dogs,NA
fetch Top Line  Sauces in Week Week18?,Top Line,Sauces,NA,NA
get Bottom Line  Costco in Year 2019?,Bottom Line,NA,NA,Costco
generate Revenue  Processed Cheese in Quarter Q2?,Revenue,NA,Processed Cheese,NA
fetch Bottom Line  Candy in Quarter Q2 to Q4?,Bottom Line,Candy,NA,NA
get Gross Sales  Kroger in Month Nov?,Gross Sales,NA,NA,Kroger
get Revenue  Gelatin in Month May to Dec?,Revenue,NA,Gelatin,NA
fetch Revenue  Meats in Week Week36?,Revenue,Meats,NA,NA
generate Top Line  Amazon in Quarter Q1 to Q4?,Top Line,NA,NA,Amazon
generate Revenue  Aldi in Quarter Q2?,Revenue,NA,NA,Aldi
display Count  Candy in Year 2019?,Count,Candy,NA,NA
display Bottom Line  Processed Cheese in Month Feb?,Bottom Line,NA,Processed Cheese,NA
get Max Shipment  Ketchup in Month Mar to Aug?,Max Shipment,NA,Ketchup,NA
generate Revenue  Candy in Week Week48?,Revenue,Candy,NA,NA
display Net sales  Enhancers in Month Feb to Oct?,Net sales,NA,Enhancers,NA
fetch Count  BBQ in Quarter Q3?,Count,NA,BBQ,NA
fetch Count  Candy in Week Week8 to Week51?,Count,Candy,NA,NA
fetch Bottom Line  Cheese in Week Week21?,Bottom Line,Cheese,NA,NA
display Bottom Line  Walmart in Year 2019?,Bottom Line,NA,NA,Walmart
fetch Bottom Line  Cheese in Month Sep?,Bottom Line,Cheese,NA,NA
get Count  Breakfast in Week Week19 to Week47?,Count,Breakfast,NA,NA
fetch Revenue  Cheese in Week Week48?,Revenue,Cheese,NA,NA
get Count  Hard in Quarter Q1 to Q4?,Count,NA,Hard,NA
generate Gross Sales  UNIFI in Quarter Q2?,Gross Sales,NA,NA,UNIFI
generate Net sales  UNIFI in Year 2019?,Net sales,NA,NA,UNIFI
fetch Count  Natural Cheese in Quarter Q4?,Count,NA,Natural Cheese,NA
fetch Top Line  Shelf Stable in Week Week13 to Week32?,Top Line,NA,Shelf Stable,NA
generate Revenue  Juice in Month Apr?,Revenue,NA,Juice,NA
display Net sales  Coffee in Month Jun to Dec?,Net sales,NA,Coffee,NA
generate Top Line  Ahold in Month Nov?,Top Line,NA,NA,Ahold
generate Net sales  Creamers in Week Week4 to Week31?,Net sales,NA,Creamers,NA
get Bottom Line  Publix in Quarter Q4?,Bottom Line,NA,NA,Publix
fetch Bottom Line  Shelf Stable in Year 2019?,Bottom Line,NA,Shelf Stable,NA
get Max Shipment  Candy in Quarter Q2?,Max Shipment,Candy,NA,NA
get Max Shipment  Creamers in Year 2019?,Max Shipment,NA,Creamers,NA
fetch Top Line  Sauces in Year 2019?,Top Line,Sauces,NA,NA
display Net sales  Sauces in Quarter Q2 to Q4?,Net sales,Sauces,NA,NA
generate Top Line  BBQ in Quarter Q3?,Top Line,NA,BBQ,NA
generate Net sales  Dollar General in Quarter Q2 to Q4?,Net sales,NA,NA,Dollar General
display Max Shipment  Specialty Meats in Year 2019?,Max Shipment,NA,Specialty Meats,NA
generate Net sales  UNIFI in Month Mar to Dec?,Net sales,NA,NA,UNIFI
display Count  Mayonaise in Month Jul?,Count,NA,Mayonaise,NA
get Revenue  UNIFI in Quarter Q2 to Q4?,Revenue,NA,NA,UNIFI
display Top Line  Cheese in Quarter Q3?,Top Line,Cheese,NA,NA
display Max Shipment  Creamers in Quarter Q1 to Q4?,Max Shipment,NA,Creamers,NA
generate Revenue  Walmart in Year 2019?,Revenue,NA,NA,Walmart
get Net sales  Coffee in Week Week14 to Week39?,Net sales,NA,Coffee,NA
generate Net sales  Aldi in Year 2019?,Net sales,NA,NA,Aldi
fetch Gross Sales  Costco in Week Week7 to Week39?,Gross Sales,NA,NA,Costco
fetch Bottom Line  Sauces in Year 2019?,Bottom Line,Sauces,NA,NA
fetch Bottom Line  Aldi in Month Jan to Aug?,Bottom Line,NA,NA,Aldi
generate Top Line  Meats in Week Week35?,Top Line,Meats,NA,NA
fetch Top Line  Candy in Week Week25 to Week47?,Top Line,Candy,NA,NA
fetch Bottom Line  Bars/Snacks in Year 2019?,Bottom Line,NA,Bars/Snacks,NA
generate Net sales  Processed Cheese in Year 2019?,Net sales,NA,Processed Cheese,NA
fetch Max Shipment  Tea in Week Week46?,Max Shipment,NA,Tea,NA
generate Top Line  Meats in Month Apr to Dec?,Top Line,Meats,NA,NA
generate Revenue  Meats in Year 2019?,Revenue,Meats,NA,NA
generate Gross Sales  Sauces in Quarter Q1 to Q4?,Gross Sales,Sauces,NA,NA
display Gross Sales  Sauces in Quarter Q1?,Gross Sales,Sauces,NA,NA
get Max Shipment  Aldi in Week Week21 to Week31?,Max Shipment,NA,NA,Aldi
fetch Revenue  Caramels in Year 2019?,Revenue,NA,Caramels,NA
get Max Shipment  Candy in Quarter Q2 to Q4?,Max Shipment,Candy,NA,NA
generate Gross Sales  Target in Week Week5?,Gross Sales,NA,NA,Target
get Top Line  Target in Quarter Q2 to Q4?,Top Line,NA,NA,Target
generate Net sales  Candy in Year 2019?,Net sales,Candy,NA,NA
fetch Top Line  Sauces in Month Jan to Aug?,Top Line,Sauces,NA,NA
fetch Top Line  Aldi in Quarter Q2?,Top Line,NA,NA,Aldi
display Top Line  Candy in Week Week16 to Week28?,Top Line,Candy,NA,NA
generate Gross Sales  Dollar General in Year 2019?,Gross Sales,NA,NA,Dollar General
fetch Net sales  Grated in Month Apr to Sep?,Net sales,NA,Grated,NA
get Count  Cold Cuts in Week Week28?,Count,NA,Cold Cuts,NA
fetch Revenue  Enhancers in Quarter Q1 to Q4?,Revenue,NA,Enhancers,NA
get Top Line  Cold Cuts in Week Week2?,Top Line,NA,Cold Cuts,NA
fetch Count  Costco in Week Week9 to Week28?,Count,NA,NA,Costco
generate Count  Sauces in Month Sep?,Count,Sauces,NA,NA
generate Gross Sales  Breakfast in Month Mar to Dec?,Gross Sales,Breakfast,NA,NA
generate Count  Creamers in Week Week42?,Count,NA,Creamers,NA
fetch Top Line  Meats in Month Jan to Dec?,Top Line,Meats,NA,NA
display Bottom Line  Cheese in Year 2019?,Bottom Line,Cheese,NA,NA
fetch Revenue  Ketchup in Quarter Q2 to Q4?,Revenue,NA,Ketchup,NA
generate Revenue  UNIFI in Month Feb?,Revenue,NA,NA,UNIFI
fetch Net sales  Chocolate in Month May to Nov?,Net sales,NA,Chocolate,NA
generate Count  Sauces in Month Aug?,Count,Sauces,NA,NA
get Count  Bacon in Week Week15 to Week38?,Count,NA,Bacon,NA
display Net sales  Costco in Quarter Q4?,Net sales,NA,NA,Costco
fetch Max Shipment  Tea in Year 2019?,Max Shipment,NA,Tea,NA
fetch Count  Hot Dogs in Week Week33?,Count,NA,Hot Dogs,NA
get Net sales  Creamers in Quarter Q1 to Q4?,Net sales,NA,Creamers,NA
get Max Shipment  BBQ in Year 2019?,Max Shipment,NA,BBQ,NA
get Top Line  Albertsons/Safeway in Month Jun to Oct?,Top Line,NA,NA,Albertsons/Safeway
get Gross Sales  Candy in Quarter Q2?,Gross Sales,Candy,NA,NA
get Max Shipment  Candy in Quarter Q1 to Q4?,Max Shipment,Candy,NA,NA
display Net sales  Candy in Year 2019?,Net sales,Candy,NA,NA
generate Top Line  Amazon in Month Feb to Aug?,Top Line,NA,NA,Amazon
display Revenue  Meats in Quarter Q2?,Revenue,Meats,NA,NA
display Net sales  Sauces in Year 2019?,Net sales,Sauces,NA,NA
fetch Count  Chocolate in Month Jan?,Count,NA,Chocolate,NA
display Revenue  Hot Dogs in Month Apr to Oct?,Revenue,NA,Hot Dogs,NA
generate Count  Breakfast in Week Week36?,Count,Breakfast,NA,NA
generate Bottom Line  UNIFI in Week Week7 to Week29?,Bottom Line,NA,NA,UNIFI
generate Revenue  Gelatin in Year 2019?,Revenue,NA,Gelatin,NA
generate Revenue  Mayonaise in Quarter Q1 to Q4?,Revenue,NA,Mayonaise,NA
generate Net sales  Sauces in Month Aug?,Net sales,Sauces,NA,NA
generate Max Shipment  Cheese in Quarter Q2 to Q4?,Max Shipment,Cheese,NA,NA
display Gross Sales  Meats in Month Jul?,Gross Sales,Meats,NA,NA
generate Net sales  Albertsons/Safeway in Week Week13 to Week48?,Net sales,NA,NA,Albertsons/Safeway
get Top Line  Ketchup in Quarter Q3?,Top Line,NA,Ketchup,NA
generate Bottom Line  Chocolate in Year 2019?,Bottom Line,NA,Chocolate,NA
get Bottom Line  Breakfast in Year 2019?,Bottom Line,Breakfast,NA,NA
display Net sales  Walmart in Quarter Q2 to Q4?,Net sales,NA,NA,Walmart
generate Count  Coffee in Quarter Q4?,Count,NA,Coffee,NA
display Max Shipment  Amazon in Week Week12 to Week40?,Max Shipment,NA,NA,Amazon
generate Gross Sales  Candy in Month Jul?,Gross Sales,Candy,NA,NA
get Max Shipment  Albertsons/Safeway in Month Mar to Sep?,Max Shipment,NA,NA,Albertsons/Safeway
display Gross Sales  Breakfast in Week Week21?,Gross Sales,Breakfast,NA,NA
get Net sales  BBQ in Quarter Q2 to Q4?,Net sales,NA,BBQ,NA
get Max Shipment  Hot Dogs in Week Week9?,Max Shipment,NA,Hot Dogs,NA
get Count  Breakfast in Week Week7 to Week51?,Count,Breakfast,NA,NA
get Net sales  Ketchup in Week Week21?,Net sales,NA,Ketchup,NA
display Revenue  Grated in Week Week13 to Week47?,Revenue,NA,Grated,NA
generate Max Shipment  Cold Cuts in Quarter Q1?,Max Shipment,NA,Cold Cuts,NA
fetch Max Shipment  Walmart in Week Week7 to Week42?,Max Shipment,NA,NA,Walmart
fetch Net sales  Sauces in Month Dec?,Net sales,Sauces,NA,NA
generate Gross Sales  Enhancers in Quarter Q2 to Q4?,Gross Sales,NA,Enhancers,NA
generate Count  Meats in Year 2019?,Count,Meats,NA,NA
generate Revenue  Publix in Week Week25 to Week28?,Revenue,NA,NA,Publix
generate Count  Chocolate in Quarter Q1?,Count,NA,Chocolate,NA
fetch Count  Specialty Meats in Year 2019?,Count,NA,Specialty Meats,NA
generate Revenue  Ahold in Quarter Q2?,Revenue,NA,NA,Ahold
get Gross Sales  Dollar General in Year 2019?,Gross Sales,NA,NA,Dollar General
get Net sales  Target in Week Week44?,Net sales,NA,NA,Target
display Count  Gelatin in Week Week3 to Week34?,Count,NA,Gelatin,NA
fetch Bottom Line  Publix in Quarter Q1?,Bottom Line,NA,NA,Publix
fetch Net sales  Hard in Year 2019?,Net sales,NA,Hard,NA
fetch Net sales  UNIFI in Week Week38?,Net sales,NA,NA,UNIFI
display Top Line  Breakfast in Year 2019?,Top Line,Breakfast,NA,NA
display Count  Processed Cheese in Quarter Q1?,Count,NA,Processed Cheese,NA
display Gross Sales  Caramels in Year 2019?,Gross Sales,NA,Caramels,NA
get Max Shipment  Ahold in Month Apr?,Max Shipment,NA,NA,Ahold
generate Revenue  UNIFI in Year 2019?,Revenue,NA,NA,UNIFI
generate Gross Sales  Creamers in Month Mar?,Gross Sales,NA,Creamers,NA
generate Net sales  Gelatin in Year 2019?,Net sales,NA,Gelatin,NA
display Top Line  Sauces in Month Dec?,Top Line,Sauces,NA,NA
generate Net sales  Cold Cuts in Year 2019?,Net sales,NA,Cold Cuts,NA
fetch Max Shipment  Kroger in Week Week7?,Max Shipment,NA,NA,Kroger
fetch Bottom Line  Tea in Month Feb to Dec?,Bottom Line,NA,Tea,NA
fetch Revenue  Breakfast in Month Jul?,Revenue,Breakfast,NA,NA
generate Gross Sales  Coffee in Month Apr to Nov?,Gross Sales,NA,Coffee,NA
get Max Shipment  Mayonaise in Month May?,Max Shipment,NA,Mayonaise,NA
generate Revenue  Hard in Year 2019?,Revenue,NA,Hard,NA
display Top Line  Breakfast in Month Nov?,Top Line,Breakfast,NA,NA
fetch Top Line  Meats in Week Week11 to Week52?,Top Line,Meats,NA,NA
display Net sales  Grated in Month Nov?,Net sales,NA,Grated,NA
display Revenue  UNIFI in Week Week24 to Week37?,Revenue,NA,NA,UNIFI
display Revenue  Shelf Stable in Month Jan?,Revenue,NA,Shelf Stable,NA
display Max Shipment  Walmart in Quarter Q2 to Q4?,Max Shipment,NA,NA,Walmart
fetch Revenue  Shelf Stable in Quarter Q4?,Revenue,NA,Shelf Stable,NA
fetch Gross Sales  Enhancers in Quarter Q1 to Q4?,Gross Sales,NA,Enhancers,NA
generate Count  Dollar General in Month Oct?,Count,NA,NA,Dollar General
fetch Top Line  UNIFI in Month Jan to Oct?,Top Line,NA,NA,UNIFI
display Net sales  Albertsons/Safeway in Quarter Q3?,Net sales,NA,NA,Albertsons/Safeway
get Top Line  Ketchup in Month May to Aug?,Top Line,NA,Ketchup,NA
fetch Bottom Line  Tea in Year 2019?,Bottom Line,NA,Tea,NA
fetch Gross Sales  Candy in Month Jun to Sep?,Gross Sales,Candy,NA,NA
generate Count  Sauces in Year 2019?,Count,Sauces,NA,NA
generate Top Line  Hot Dogs in Year 2019?,Top Line,NA,Hot Dogs,NA
